total_tx,gas_spent,avg_value,max_value,activity_days,wallet,risk_score
100,2377481427161696080,5.225464129e+17,5e+19,794,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,996.78
5,15559648000000000,4860370000000000.0,18600000000000000,0,0x06b51c6882b27cb05e712185531c1f74996dd988,750.0
4,15780978000000000,4650000000000000.0,18600000000000000,0,0x0795732aacc448030ef374374eaae57d2965c16c,740.0
80,1725902402924921473,2.523043686056659e+18,6.756315246669052e+19,2067,0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,996.2
5,14405516000000000,5200938200000000.0,18600000000000000,63,0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,946.87
6,20966898966651000,1.6014761126666666e+17,474857507600000000,698,0x104ae61d8d487ad689969a17807ddc338b445416,956.86
6,9834403000000000,4835531833333333.0,18600000000000000,0,0x111c7208a7e2af345d36b6d4aace8740d61a3078,757.14
7,9647395200000000,4896067714285714.0,18600000000000000,0,0x124853fecb522c57d9bd5c21231058696ca6d596,762.5
4,9821230600000000,4000000000000000.0,16000000000000000,0,0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,740.0
100,2423633282100000000,8e+16,8000000000000000000,1493,0x1656f1886c5ab634ac19568cd571bc72f385fdf7,996.9
6,4102583400000000,644366666666666.6,2719520000000000,21,0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,948.05
31,209073315290426743,4558956246091332.0,65618335637786780,2125,0x19df3e87f73c4aaf4809295561465b993e102668,990.53
5,11852304000000000,5627186400000000.0,18600000000000000,0,0x1ab2ccad4fc97c9968ea87d4435326715be32872,750.0
100,510471989963638000,1.458514391924787e+16,78072590000000000,1511,0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,996.9
3,4563704100000000,9710337766666666.0,16000000000000000,0,0x1e43dacdcf863676a6bec8f7d6896d6252fac669,725.0
76,1475103661440846918,8143006818421053.0,604768525000000000,1780,0x22d7510588d90ed5a87e0f838391aaafa707c34b,995.99
22,50644541661517005,1.978993559506008e+16,221084080000000000,161,0x24b3460622d835c56d9a4fe352966b9bdc6c20af,985.72
7,23616812400000000,6831906800000000.0,20000000000000000,480,0x26750f1f4277221bdb5f6991473c6ece8c821f9d,962.08
5,8310284000000000,6246785000000000.0,18600000000000000,8,0x27f72a000d8e9f324583f3a3491ea66998275b28,927.78
4,14216419400000000,4000000000000000.0,16000000000000000,0,0x2844658bf341db96aa247259824f42025e3bcec2,740.0
5,5569244300000000,6668343740000000.0,18600000000000000,0,0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,750.0
100,347345744035700365,7.240048822324044e+17,2.2877705249150956e+19,2002,0x330513970efd9e8dd606275fb4c50378989b3204,996.93
100,89179962137855345,1.6950443914831977e+18,2.2e+19,260,0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,996.26
4,5863953600000000,4000000000000000.0,16000000000000000,0,0x3867d222ba91236ad4d12c31056626f9e798629c,740.0
4,13684457000000000,4650000000000000.0,18600000000000000,0,0x3a44be4581137019f83021eeee72b7dc57756069,740.0
5,8218590000000000,3720000000000000.0,18600000000000000,0,0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,750.0
100,639022602442969011,9.52333264356007e+16,5322863284178822504,1899,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,996.92
100,1100463574217727830,9.089578290039018e+16,1443477026986431515,1605,0x4814be124d7fe3b240eb46061f7ddfab468fe122,996.91
20,233472543300000000,9.681406775e+16,967273950000000000,1554,0x4839e666e2baf12a51bf004392b35972eeddeabf,985.59
4,18738850400000000,5047124800000000.0,16000000000000000,226,0x4c4d05fe859279c91b074429b5fc451182cec745,939.12
100,838325222120688586,1.0391904011186051e+17,1030081438994216079,1747,0x4d997c89bc659a3e8452038a8101161e7e7e53a7,996.92
5,17726594000000000,4731152000000000.0,18600000000000000,7,0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,925.0
5,14982636000000000,4438376800000000.0,16000000000000000,162,0x4e61251336c32e4fe6bfd5fab014846599321389,948.77
6,12922732000000000,3100000000000000.0,18600000000000000,187,0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,956.08
43,191813641117939723,9183488411241406.0,52000000000000000,1055,0x507b6c0d950702f066a9a1bd5e85206f87b065ba,992.99
7,2744473000000000,0.0,0,0,0x54e19653be9d4143b08994906be0e27555e8834d,462.5
5,10293939000000000,5773726000000000.0,18600000000000000,39,0x56ba823641bfc317afc8459bf27feed6eb9ff59f,945.0
